#{"t_start": 1620967668.4467273, "env_id": "HalfCheetah-v3"}
r,l,t
20.903963,1000,4208.337687
20.241235,1000,4214.954946
21.50841,1000,4221.558132
20.711711,1000,4234.437816
20.429728,1000,4240.70556
20.357893,1000,4247.327771
20.520075,1000,4253.991947
20.537452,1000,4260.756639
21.811134,1000,4267.364755
20.849283,1000,4274.039493
21.451864,1000,4280.618248
20.497128,1000,4287.335434
20.709232,1000,4293.925201
20.80858,1000,4306.590831
21.083618,1000,4313.145764
20.084163,1000,4319.784603
20.470813,1000,4326.399871
20.665693,1000,4333.105852
20.092688,1000,4339.818639
21.500033,1000,4346.424078
20.38647,1000,4353.044236
21.090978,1000,4359.659911
21.320022,1000,4366.316728
21.149246,1000,4378.826067
6.11696,1000,4385.453915
21.623557,1000,4392.188604
20.919076,1000,4398.804955
20.944568,1000,4405.388586
20.796125,1000,4412.070909
21.199898,1000,4418.858842
20.683329,1000,4425.439268
21.302214,1000,4432.039811
20.768021,1000,4438.660887
20.545088,1000,4451.46381
21.485554,1000,4458.036649
20.673731,1000,4464.671597
21.760183,1000,4471.415368
21.37444,1000,4478.056765
20.93461,1000,4484.647199
21.94474,1000,4491.225379
21.090919,1000,4497.994204
20.451782,1000,4504.606645
21.186877,1000,4511.272336
20.873098,1000,4524.279759
21.242263,1000,4530.937068
21.981838,1000,4537.613015
21.363636,1000,4544.280618
20.488177,1000,4550.903706
21.071291,1000,4557.579539
21.47259,1000,4564.307531
21.045627,1000,4570.86091
21.832553,1000,4577.642972
21.624055,1000,4584.321416
22.233405,1000,4597.390575
21.593144,1000,4604.058973
22.105866,1000,4610.591543
20.941949,1000,4617.24181
21.698447,1000,4623.862646
21.224161,1000,4630.642191
21.244494,1000,4637.197985
21.432595,1000,4643.838566
21.429725,1000,4650.584716
21.478959,1000,4657.13764
20.789266,1000,4670.188285
21.694524,1000,4676.873736
21.681982,1000,4683.47654
21.34038,1000,4690.072321
21.322956,1000,4696.691363
21.37809,1000,4703.383359
22.136067,1000,4710.022617
21.15002,1000,4716.604122
21.803515,1000,4723.175843
21.417353,1000,4729.629089
21.526901,1000,4742.757994
22.303092,1000,4749.367936
22.522899,1000,4756.105886
21.116567,1000,4762.759573
21.81792,1000,4769.332459
21.200696,1000,4775.857455
21.065276,1000,4782.506869
21.970468,1000,4789.084512
21.962745,1000,4795.801691
21.788696,1000,4802.116714
22.607285,1000,4815.089699
21.735793,1000,4821.747607
22.087863,1000,4828.363876
22.199909,1000,4835.045639
22.09217,1000,4841.648422
21.701948,1000,4848.221432
21.872867,1000,4854.837688
22.114289,1000,4861.553115
22.353174,1000,4868.090818
22.305571,1000,4874.235523
22.061344,1000,4887.369952
21.600569,1000,4893.991296
21.227481,1000,4900.592596
22.302866,1000,4907.20669
21.697459,1000,4913.870151
21.676676,1000,4920.469926
21.223295,1000,4927.177203
22.454791,1000,4933.847728
22.058966,1000,4940.348819
22.363805,1000,4946.738021
22.204234,1000,4959.679696
22.182719,1000,4966.463511
22.388944,1000,4973.160203
22.233795,1000,4979.80017
22.211981,1000,4986.374725
22.510879,1000,4993.048352
22.321119,1000,4999.670517
22.006374,1000,5006.292279
21.772451,1000,5012.512626
22.072542,1000,5019.07061
21.756706,1000,5032.069658
22.616645,1000,5038.739297
21.729422,1000,5045.389724
22.951771,1000,5051.99405
22.561278,1000,5058.632785
22.404289,1000,5065.201829
21.852332,1000,5071.934551
22.461942,1000,5078.463587
22.521441,1000,5084.671521
22.253221,1000,5091.30348
22.560536,1000,5104.396419
21.701676,1000,5111.061267
21.784353,1000,5117.618351
22.185709,1000,5124.315981
