#{"t_start": 1595746395.970126, "env_id": "Hopper-v3"}
r,l,t
0.895464,229,1007.190551
1.130559,299,1009.866107
0.655591,137,1011.025074
1.367704,683,1016.94156
0.320895,215,1018.707964
1.207342,401,1022.274361
1.998004,811,1030.721615
1.427581,380,1034.269553
1.623187,660,1040.058417
1.064366,418,1043.659418
1.972707,646,1049.775443
0.994781,262,1052.88035
2.081582,769,1059.927438
1.038245,399,1063.449852
1.032979,367,1066.657866
2.174626,614,1083.125346
1.283156,403,1086.866126
2.26091,966,1096.756185
2.882516,1000,1106.272295
0.973623,316,1109.814689
1.325564,430,1113.764706
1.613867,498,1118.951067
1.922052,558,1124.176389
1.470146,379,1128.930572
2.557021,680,1135.623072
3.308872,1000,1145.377223
3.497404,1000,1154.695435
2.698067,1000,1166.830211
1.272863,409,1172.11329
1.35645,482,1177.543997
0.787794,180,1179.479038
2.780357,1000,1198.279788
3.352814,976,1206.882735
3.19484,1000,1216.379629
3.035983,1000,1226.118157
3.15811,1000,1236.050369
0.362959,85,1236.920794
2.234192,704,1243.658468
0.501099,122,1244.826905
1.858732,507,1251.204232
3.321472,990,1261.967643
1.443072,344,1265.367621
2.987376,1000,1276.32272
2.957575,1000,1286.147256
3.976364,921,1312.073405
3.530719,1000,1321.238943
1.026077,249,1323.455592
2.7795,618,1328.991779
1.528778,310,1331.769551
1.330019,322,1334.675098
1.038834,219,1336.57609
0.478676,116,1337.545646
1.634668,383,1341.13361
1.210411,242,1343.311453
1.955639,532,1348.294136
0.746274,200,1350.044358
2.805012,764,1357.123991
1.942354,496,1361.58778
2.048844,506,1366.148095
3.213342,1000,1375.260736
1.249587,413,1379.018528
1.567364,451,1383.000015
3.477512,1000,1392.11594
1.023879,258,1394.361127
3.982346,999,1413.628008
3.391387,1000,1422.358196
2.350122,694,1428.518627
1.686422,354,1431.631275
3.722908,1000,1440.807989
3.595037,1000,1450.018553
3.482033,1000,1459.260641
1.734613,443,1463.320228
1.523979,298,1466.112428
3.276396,1000,1475.178755
3.390738,1000,1484.387602
2.537842,540,1489.364919
3.201429,696,1495.717576
3.967485,945,1514.531207
2.916948,600,1519.940764
1.510437,331,1522.895244
2.241593,443,1526.663006
0.906525,252,1528.957123
3.006625,627,1534.560784
0.735942,210,1536.60338
2.092136,468,1540.861332
0.684891,183,1542.644779
1.150224,348,1545.784762
1.390267,439,1549.894817
1.275713,365,1553.196078
3.5973,1000,1564.719979
1.188125,304,1568.541488
3.576348,1000,1578.576325
2.941652,626,1585.404786
3.789662,1000,1595.59595
3.155452,737,1602.012752
1.094373,267,1604.501998
1.849125,363,1608.060716
3.205453,805,1627.856303
1.510273,266,1630.292031
1.112764,249,1632.601167
0.8898,179,1634.175739
1.299351,256,1636.660653
0.595363,176,1638.602842
1.631922,329,1642.644698
0.35339,85,1643.41951
3.40651,796,1651.826857
1.084226,188,1654.650459
1.148436,224,1656.870961
1.477352,295,1659.891221
1.371139,356,1663.347496
0.123977,27,1663.603293
1.549898,294,1666.471787
1.471384,301,1669.32232
1.316852,255,1672.082568
1.681868,397,1676.129341
4.088805,1000,1686.082788
3.07366,664,1694.75314
0.628794,168,1696.788771
0.78187,188,1699.595223
3.995364,1000,1709.714949
4.875592,1000,1718.545858
0.462563,117,1719.633412
2.01178,509,1724.223365
0.87657,216,1736.811697
1.068873,275,1739.429555
2.767598,681,1745.636916
3.023114,623,1751.161858
2.798832,669,1755.360283
2.156597,396,1757.960901
2.297432,555,1761.407077
1.573173,320,1763.539897
1.302576,276,1765.225889
1.99113,365,1767.462678
4.137953,1000,1773.789752
2.907886,676,1778.151549
4.061003,929,1784.036144
0.249492,52,1784.368886
2.392566,452,1787.526553
4.451204,1000,1794.802333
2.047128,640,1798.76541
3.277022,587,1802.403884
5.150597,1000,1815.0896
3.032325,545,1818.619543
1.251335,253,1820.385729
2.061086,367,1823.437443
3.006494,545,1826.838957
2.189288,486,1830.189212
1.193829,225,1831.600077
1.718192,294,1833.413666
1.594453,306,1835.332429
2.293435,445,1838.107568
2.038112,462,1841.046709
1.53237,280,1842.753351
2.012911,436,1845.898792
0.399467,110,1846.619583
2.059235,423,1849.213187
0.377301,131,1850.02248
1.858821,363,1852.245063
2.259295,472,1855.105989
4.636787,951,1861.042197
0.884462,187,1862.185636
2.669051,668,1866.218825
0.730929,156,1867.13832
0.78103,160,1868.110403
3.973796,985,1874.259791
4.522735,1000,1890.902843
4.251325,1000,1900.489874
1.936848,445,1903.972864
1.830654,482,1908.516223
1.152224,277,1910.897463
2.419791,510,1915.047588
0.619744,150,1916.274447
2.623205,497,1920.133081
0.991842,210,1921.836192
0.927881,206,1923.466585
1.290066,222,1925.243413
0.784341,208,1926.983638
0.956781,206,1928.626209
1.225282,275,1930.819792
1.086617,196,1932.381652
1.278675,212,1934.070208
0.802433,167,1935.402611
0.677911,213,1937.076869
1.306127,232,1938.9726
0.846475,181,1940.410845
0.709549,154,1941.614239
0.931457,180,1943.024165
1.026136,156,1944.276283
1.516408,252,1946.265054
1.171102,255,1948.25152
0.723357,148,1949.478958
1.049937,173,1950.909447
0.968224,172,1952.246115
0.592223,154,1953.435818
1.268311,262,1955.602644
0.640449,146,1956.779462
5.755131,1000,1964.620379
2.125896,381,1975.408065
4.795451,1000,1983.38221
